setting,phase,wd_sched,lambda0,budget_c,best_acc,diverged,exp,src
vgg16/cifar100,SGD,iso_product,0.01743,3.0005908376989923,31.69,0,e12_matched,e12
vgg16/cifar100,SGD,iso_product,0.02324,4.0007877835986605,22.46,0,e12_matched,e12
vgg16/cifar100,SGD,iso_product,0.03485,5.999460166024668,11.38,0,e12_matched,e12
vgg16/cifar100,SGD,iso_product,0.05228,9.000051003723677,4.31,0,e12_matched,e12
vgg16/cifar100,SGD,iso_product,0.08713,14.999511169748343,3.83,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.01417,0.9998394576975578,74.29,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.02834,1.9996789153951156,73.44,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.04252,3.0002239760974,66.26,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.05669,4.000063433794957,4.21,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.08503,5.999742349190074,4.04,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.1276,9.00349434031111,2.52,0,e12_matched,e12
vgg16/cifar100,SGD,linear,0.2126,15.001119880487005,1.0,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.03397,1.0000665929438226,75.43,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.06794,2.000133185887645,70.48,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.1019,2.9999053818361947,45.21,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.1359,4.000855165765836,35.91,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.2038,5.999810763672389,28.99,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.3057,8.999716145508582,25.53,0,e12_matched,e12
vgg16/cifar100,SGD,linear_up,0.5095,14.99952690918097,18.47,0,e12_matched,e12
vgg16/cifar100,SGDM,fixed,0.0001,0.10395010395010401,69.29,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.000256,0.26611226611226635,72.05,0,e4,e11
vgg16/cifar100,SGDM,fixed,0.0003,0.3118503118503121,72.27,0,e12_fixed,e12
vgg16/cifar100,SGDM,fixed,0.000598,0.621621621621622,72.67,0,e4,e11
